batch_size;lr;optimizer;test_size;units;Epoch Stopped;Training Loss;Validation Loss;val_mape
16;0.01;Adam;0.1;8;10;0.001275197;0.005643483;7.613397121
16;0.01;Adam;0.1;16;3;0.00499259;0.00501732;7.213565826
16;0.01;Adam;0.1;32;3;0.00232479;0.001185884;3.325508118
16;0.01;Adam;0.2;8;6;0.002243054;0.000698856;2.710842371
16;0.01;Adam;0.2;16;10;0.003742984;0.000608368;2.462562799
16;0.01;Adam;0.2;32;7;0.00654693;0.000854344;2.859877348
16;0.01;Adam;0.3;8;13;0.001441001;0.000366755;1.812664866
16;0.01;Adam;0.3;16;3;0.005944371;0.001595735;4.156089306
16;0.01;Adam;0.3;32;8;0.003256944;0.000567659;2.329813004
16;0.01;Adamax;0.1;8;3;0.000665894;0.000710841;2.543462753
16;0.01;Adamax;0.1;16;20;0.000967238;0.000398121;1.774508357
16;0.01;Adamax;0.1;32;19;0.000838;0.000352445;1.706863046
16;0.01;Adamax;0.2;8;20;0.00168558;0.000356801;1.854506493
16;0.01;Adamax;0.2;16;14;0.000791272;0.000222729;1.378538966
16;0.01;Adamax;0.2;32;10;0.001083201;0.000261849;1.502578735
16;0.01;Adamax;0.3;8;12;0.000726945;0.000256735;1.464092135
16;0.01;Adamax;0.3;16;10;0.000826279;0.000261636;1.464813471
16;0.01;Adamax;0.3;32;15;0.000913809;0.000299346;1.578614712
16;0.001;Adam;0.1;8;22;0.000690707;0.000364817;1.714277864
16;0.001;Adam;0.1;16;3;0.002190337;0.001586094;3.887479544
16;0.001;Adam;0.1;32;3;0.006403395;0.003261912;5.674010277
16;0.001;Adam;0.2;8;5;0.003215217;0.000809577;2.92721343
16;0.001;Adam;0.2;16;3;0.006648973;0.002942598;5.967265129
16;0.001;Adam;0.2;32;9;0.000992902;0.000282849;1.55537343
16;0.001;Adam;0.3;8;0;0.000451944;0.000183222;1.227295399
16;0.001;Adam;0.3;16;92;0.000472127;0.00017671;1.201516628
16;0.001;Adam;0.3;32;4;0.002432183;0.000800389;2.82156682
16;0.001;Adamax;0.1;8;19;0.000881277;0.000368586;1.737425208
16;0.001;Adamax;0.1;16;15;0.001152205;0.000411428;1.842396021
16;0.001;Adamax;0.1;32;4;0.010035888;0.00102735;2.906411171
16;0.001;Adamax;0.2;8;25;0.000780619;0.00032273;1.732883811
16;0.001;Adamax;0.2;16;11;0.002893223;0.000791489;2.829422712
16;0.001;Adamax;0.2;32;6;0.007758263;0.001629646;4.233859539
16;0.001;Adamax;0.3;8;0;0.000468739;0.000214428;1.322509885
16;0.001;Adamax;0.3;16;16;0.000675;0.000283381;1.503856421
16;0.001;Adamax;0.3;32;13;0.000966302;0.000400418;1.768561959
32;0.01;Adam;0.1;8;5;0.0010417;0.000896202;2.866710424
32;0.01;Adam;0.1;16;7;0.000906114;0.001173383;3.359735727
32;0.01;Adam;0.1;32;10;0.000996926;0.004150362;6.552560806
32;0.01;Adam;0.2;8;12;0.000750092;0.00026474;1.454930782
32;0.01;Adam;0.2;16;27;0.000548439;0.000190147;1.259130001
32;0.01;Adam;0.2;32;11;0.001076928;0.000355947;1.656406045
32;0.01;Adam;0.3;8;29;0.000435849;0.00019146;1.242662787
32;0.01;Adam;0.3;16;11;0.000893701;0.000277129;1.510690093
32;0.01;Adam;0.3;32;10;0.000931513;0.000291312;1.554660201
32;0.01;Adamax;0.1;8;8;0.003808496;0.000727407;2.509256363
32;0.01;Adamax;0.1;16;7;0.00054203;0.000250291;1.428529382
32;0.01;Adamax;0.1;32;9;0.000536261;0.000240957;1.412055492
32;0.01;Adamax;0.2;8;10;0.002217364;0.000813723;2.946904421
32;0.01;Adamax;0.2;16;7;0.003629926;0.000930945;3.165799141
32;0.01;Adamax;0.2;32;21;0.000583146;0.000188892;1.264686346
32;0.01;Adamax;0.3;8;3;0.017893134;0.038712688;22.02362442
32;0.01;Adamax;0.3;16;38;0.000634465;0.00021272;1.323163509
32;0.01;Adamax;0.3;32;3;0.008121365;0.00141805;3.656418324
32;0.001;Adam;0.1;8;38;0.000587667;0.000224686;1.337487698
