Tanggal,Penutupan
2018-01-02,"6.339,24"
2018-01-03,"6.251,48"
2018-01-04,"6.292,32"
2018-01-05,"6.353,74"
2018-01-08,"6.385,40"
2018-01-09,"6.373,14"
2018-01-10,"6.371,17"
2018-01-11,"6.386,34"
2018-01-12,"6.370,06"
2018-01-15,"6.382,19"
2018-01-16,"6.429,69"
2018-01-17,"6.444,52"
2018-01-18,"6.472,67"
2018-01-19,"6.490,90"
2018-01-22,"6.500,53"
2018-01-23,"6.635,33"
2018-01-24,"6.615,49"
2018-01-25,"6.615,33"
2018-01-26,"6.660,62"
2018-01-29,"6.680,62"
2018-01-30,"6.575,49"
2018-01-31,"6.605,63"
2018-02-01,"6.598,46"
2018-02-02,"6.628,82"
2018-02-05,"6.589,68"
2018-02-06,"6.478,54"
2018-02-07,"6.534,87"
2018-02-08,"6.544,63"
2018-02-09,"6.505,52"
2018-02-12,"6.523,45"
2018-02-13,"6.578,18"
2018-02-14,"6.594,40"
2018-02-15,"6.591,58"
2018-02-19,"6.689,29"
2018-02-20,"6.662,88"
2018-02-21,"6.643,40"
2018-02-22,"6.593,06"
2018-02-23,"6.619,80"
2018-02-26,"6.554,67"
2018-02-27,"6.598,93"
2018-02-28,"6.597,22"
2018-03-01,"6.606,05"
2018-03-02,"6.582,32"
2018-03-05,"6.550,59"
2018-03-06,"6.500,11"
2018-03-07,"6.368,27"
2018-03-08,"6.443,02"
2018-03-09,"6.433,32"
2018-03-12,"6.500,69"
2018-03-13,"6.412,85"
2018-03-14,"6.382,62"
2018-03-15,"6.321,90"
2018-03-16,"6.304,95"
2018-03-19,"6.289,57"
2018-03-20,"6.243,58"
2018-03-21,"6.312,83"
2018-03-22,"6.254,07"
2018-03-23,"6.210,70"
2018-03-26,"6.200,17"
2018-03-27,"6.209,35"
2018-03-28,"6.140,84"
2018-03-29,"6.188,99"
2018-04-02,"6.240,57"
2018-04-03,"6.229,01"
2018-04-04,"6.157,10"
2018-04-05,"6.183,23"
2018-04-06,"6.175,05"
2018-04-09,"6.246,13"
2018-04-10,"6.325,82"
2018-04-11,"6.360,93"
2018-04-12,"6.310,80"
2018-04-13,"6.270,33"
2018-04-16,"6.286,75"
2018-04-17,"6.285,76"
2018-04-18,"6.320,01"
2018-04-19,"6.355,90"
2018-04-20,"6.337,69"
2018-04-23,"6.308,15"
2018-04-24,"6.229,64"
2018-04-25,"6.079,85"
2018-04-26,"5.909,20"
2018-04-27,"5.919,24"
2018-04-30,"5.994,60"
2018-05-02,"6.012,24"
2018-05-03,"5.858,73"
2018-05-04,"5.792,35"
2018-05-07,"5.885,10"
2018-05-08,"5.774,72"
2018-05-09,"5.907,94"
2018-05-11,"5.956,83"
2018-05-14,"5.947,15"
2018-05-15,"5.838,12"
2018-05-16,"5.841,46"
2018-05-17,"5.815,92"
2018-05-18,"5.783,31"
2018-05-21,"5.733,85"
2018-05-22,"5.751,12"
2018-05-23,"5.792,00"
2018-05-24,"5.946,54"
2018-05-25,"5.975,74"
2018-05-28,"6.068,32"
2018-05-30,"6.011,06"
2018-05-31,"5.983,59"
2018-06-04,"6.014,82"
2018-06-05,"6.088,79"
2018-06-06,"6.069,71"
2018-06-07,"6.106,70"
2018-06-08,"5.993,63"
2018-06-20,"5.884,04"
2018-06-21,"5.822,33"
2018-06-22,"5.821,81"
2018-06-25,"5.859,08"
2018-06-26,"5.825,65"
2018-06-27,"5.787,55"
2018-06-28,"5.667,32"
2018-06-29,"5.799,24"
2018-07-02,"5.746,77"
2018-07-03,"5.633,94"
2018-07-04,"5.733,64"
2018-07-05,"5.739,33"
2018-07-06,"5.694,91"
2018-07-09,"5.807,38"
2018-07-10,"5.881,76"
2018-07-11,"5.893,36"
2018-07-12,"5.907,87"
2018-07-13,"5.944,07"
2018-07-16,"5.905,16"
2018-07-17,"5.861,51"
2018-07-18,"5.890,73"
2018-07-19,"5.871,08"
2018-07-20,"5.872,78"
2018-07-23,"5.915,80"
2018-07-24,"5.931,84"
2018-07-25,"5.933,89"
2018-07-26,"5.946,14"
2018-07-27,"5.989,14"
2018-07-30,"6.027,94"
2018-07-31,"5.936,44"
2018-08-01,"6.033,42"
2018-08-02,"6.011,72"
2018-08-03,"6.007,54"
2018-08-06,"6.101,13"
2018-08-07,"6.091,25"
2018-08-08,"6.094,83"
2018-08-09,"6.065,26"
2018-08-10,"6.077,17"
2018-08-13,"5.861,25"
2018-08-14,"5.769,87"
2018-08-15,"5.816,59"
2018-08-16,"5.783,80"
2018-08-20,"5.892,19"
2018-08-21,"5.944,30"
2018-08-23,"5.982,98"
2018-08-24,"5.968,75"
2018-08-27,"6.025,97"
2018-08-28,"6.042,65"
2018-08-29,"6.065,15"
2018-08-30,"6.018,96"
2018-08-31,"6.018,46"
2018-09-03,"5.967,58"
2018-09-04,"5.905,30"
2018-09-05,"5.683,50"
2018-09-06,"5.776,10"
2018-09-07,"5.851,47"
2018-09-10,"5.831,12"
2018-09-12,"5.798,15"
2018-09-13,"5.858,27"
2018-09-14,"5.931,28"
2018-09-17,"5.824,26"
2018-09-18,"5.811,79"
2018-09-19,"5.873,60"
2018-09-20,"5.931,27"
2018-09-21,"5.957,74"
2018-09-24,"5.882,22"
2018-09-25,"5.874,30"
2018-09-26,"5.873,27"
2018-09-27,"5.929,22"
2018-09-28,"5.976,55"
2018-10-01,"5.944,60"
2018-10-02,"5.875,62"
2018-10-03,"5.867,74"
2018-10-04,"5.756,62"
2018-10-05,"5.731,94"
2018-10-08,"5.761,07"
2018-10-09,"5.796,79"
2018-10-10,"5.820,67"
2018-10-11,"5.702,82"
2018-10-12,"5.756,49"
2018-10-15,"5.727,26"
2018-10-16,"5.800,82"
2018-10-17,"5.868,62"
2018-10-18,"5.845,24"
2018-10-19,"5.837,29"
2018-10-22,"5.840,44"
2018-10-23,"5.797,89"
2018-10-24,"5.709,42"
2018-10-25,"5.754,97"
2018-10-26,"5.784,92"
2018-10-29,"5.754,61"
2018-10-30,"5.789,10"
2018-10-31,"5.831,65"
2018-11-01,"5.835,92"
2018-11-02,"5.906,29"
2018-11-05,"5.920,59"
2018-11-06,"5.923,93"
2018-11-07,"5.939,89"
2018-11-08,"5.976,81"
2018-11-09,"5.874,15"
2018-11-12,"5.777,05"
2018-11-13,"5.835,20"
2018-11-14,"5.858,29"
2018-11-15,"5.955,74"
2018-11-16,"6.012,35"
